ID,Frame Name,Cycle Time [ms],Launch Type,Launch Parameter,Signal Byte No.,Signal Bit No.,Signal Name,Signal Function,Signal Length [Bit],Signal Default, Signal Not Available,Byteorder,is signed,IAP,ODS,_4WD,BCM,HUD,DATC,MDPS,AAF_Tester,AEMC,SMK,_4WD,EPB,CUBIS,MTS,TMU,EVP,CGW,TPMS,LPI,DI_BOX,SPAS,EMS,LCA,TCU,IBOX,FATC,AFLS,FPCM,SCC,AHLS,AVM,ABS,SNV,OPI,PGS,SAS,AAF,Dummy,LDWS_LKAS,LVR,ESC,PSB,CLU,ECS,ACU,REA,Value,Name / Phys. Range,Function / Increment Unit
 43h,DATC13,,,,1,6,CF_Datc_IonClean,,2,,,i,u,,,,,,s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,r,,,,,0.0..3.0
 43h,DATC13,,,,2,0,CF_Datc_ChgReqDisp,,2,,,i,u,,,,,,s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,r,,,,,0.0..3.0
 43h,DATC13,,,,2,2,CF_Datc_IntakeDisp,,2,,,i,u,,,,,,s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,r,,,,,0.0..3.0
 43h,DATC13,,,,2,4,CF_Datc_AutoDisp,,2,,,i,u,,,,,,s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,r,,,,,0.0..3.0
 43h,DATC13,,,,2,6,CF_Datc_FrDefLed,,2,,,i,u,,,,,,s,,,,,,,,,,,,,,,,,,,r,,,,,,,,,,,,,,,,,,r,,,,,0.0..3.0
 43h,DATC13,,,,3,0,CF_Datc_AutoDefogBlink,,2,,,i,u,,,,,,s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,r,,,,,0.0..3.0
 43h,DATC13,,,,3,2,CF_Datc_ClmScanDisp,,2,,,i,u,,,,,,s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,r,,,,,0.0..3.0
 43h,DATC13,,,,3,4,CF_Datc_AqsDisp,,2,,,i,u,,,,,,s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,r,,,,,0.0..3.0
 43h,DATC13,,,,3,6,CF_Datc_AcDisp,,2,,,i,u,,,,,,s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,r,,,,,0.0..3.0
 43h,DATC13,,,,4,1,CF_Datc_OpSts,,3,,,i,u,,,,,,s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,r,,,,,0.0..7.0
 43h,DATC13,,,,4,4,CF_Mtc_MaxAcDisp,,2,,,i,u,,,,,,s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,r,,,,,0.0..3.0
 43h,DATC13,,,,4,6,CF_Datc_DualDisp,,2,,,i,u,,,,,,s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,r,,,,,0.0..3.0
 43h,DATC13,,,,5,0,CF_Datc_PwrInf,,4,,,i,u,,,,,,s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,r,,,,,0.0..15.0
 43h,DATC13,,,,5,6,CF_Datc_RearManual,,2,,,i,u,,,,,,s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,r,,,,,0.0..3.0
 43h,DATC13,,,,6,0,CF_Datc_RearAutoDisp,,2,,,i,u,,,,,,s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,r,,,,,0.0..1.0
 43h,DATC13,,,,6,2,CF_Datc_RearOffDisp,,2,,,i,u,,,,,,s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,r,,,,,0.0..3.0
 43h,DATC13,,,,6,4,CF_Datc_RearClimateScnDisp,,2,,,i,u,,,,,,s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,r,,,,,0.0..3.0
 43h,DATC13,,,,6,6,CF_Datc_RearChgReqDisp,,2,,,i,u,,,,,,s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,r,,,,,0.0..3.0
 43h,DATC13,,,,7,0,CF_Datc_RearModDisp,,4,,,i,u,,,,,,s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,r,,,,,0.0..15.0
 43h,DATC13,,,,7,4,CF_Datc_RearBlwDisp,,4,,,i,u,,,,,,s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,r,,,,,0.0..15.0
 43h,DATC13,,,,8,0,CF_Datc_PSModDisp,,4,,,i,u,,,,,,s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,r,,,,,0.0..15.0
 43h,DATC13,,,,8,4,CF_Datc_FrontBlwDisp,,4,,,i,u,,,,,,s,,,,,,,,,,,,,,,,,,,r,,,,,,,,,,,,,,,,,,r,,,,,0.0..15.0
 44h,DATC11,,,,1,0,CF_Datc_Type,,8,,,i,u,,,,,,s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,r,,,,,0.0..255.0
 44h,DATC11,,,,2,0,CF_Datc_VerMaj,,8,,,i,u,,,,,,s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,r,,,,,0.0..255.0
 44h,DATC11,,,,3,0,CF_Datc_VerMin,,8,,,i,u,,,,,,s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,r,,,,,0.0..255.0
 44h,DATC11,,,,4,0,CR_Datc_OutTempC,,8,,,i,u,,,,,,s,,,,,,,,,,,,,,,,,,,,,,r,,,,,,,,,,,,,,,r,,,,,-41.0..86.5,0.5  deg
 44h,DATC11,,,,5,0,CR_Datc_OutTempF,,8,,,i,u,,,,,,s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,r,,,,,-42.0..213.0,deg
 44h,DATC11,,,,6,0,CF_Datc_IncarTemp,,8,,,i,u,,,,r,,s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,r,,,,,-40.0..60.0,0.5  deg
